sp,FAMILY.,GENUS.,SPECIES.,RGR95SAP,MRT25SAP,score,rank,genus_species
acaldi,Euphorbiacea,Acalypha,diversifolia,0.195,63.8,-2.646847363,1,Acalypha_diversifolia
alchco,Euphorbiaceae,Alchornea,costaricensis,,,,,Alchornea_costaricensis
annosp,Annonaceae,Annona,spraguei,,,,,Annona_spraguei
apeiti,Tiliaceae,Apeiba,tibourbou,,,,,Apeiba_tibourbou
cecrin,Cecropiaceae,Cecropia,insignis,,,,,Cecropia_insignis
cecrlo,Cecropiaceae,Cecropia,longipes,,,,,Cecropia_longipes
cecrob,Cecropiaceae,Cecropia,obtusifolia,,,,,Cecropia_obtusifolia
cordbi,Boraginaceae,Cordia,bicolor,0.26,61.6,-3.574709122,1,Cordia_bicolor
hyeral,Euphorbiaceae,Hyeronima,alchorneoides,,,,,Hyeronima_alchorneoides
jac1co,Bignoniaceae,Jacaranda,copaia,,,,,Jacaranda_copaia
laetth,Flacourtiace,Laetia,thamnia,,,,,Laetia_thamnia
luehse,Tiliaceae,Luehea,seemannii,,,,,Luehea_seemannii
micoar,Melastomatac,Miconia,argentea,0.267,79.4,-4.451465723,1,Miconia_argentea
ochrpy,Bombacaceae,Ochroma,pyramidale,,,,,Ochroma_pyramidale
ocotce,Lauraceae,Ocotea,cernua,,,,,Cordia_lasiocalyx
ocotpu,Lauraceae,Ocotea,puberula,0.175,46.8,-1.600023266,1,Ocotea_puberula
olmeas,Moraceae,Trophis,caucana,,,,,Trophis_caucana
paligu,Rubiaceae,Palicourea,guianensis,0.274,87.5,-4.910452601,1,Palicourea_guianensis
sapiau,Euphorbiaceae,Sapium,glandulosum,,,,,Sapium_glandulosum
simaam,Simaroubacea,Simarouba,amara,,,,,Simarouba_amara
tab1ro,Bignoniaceae,Tabebuia,rosea,,,,,Tabebuia_rosea
tratas,Burseraceae,Trattinnickia,aspera,,,,,Trattinnickia_aspera
tremmi,Ulmaceae,Trema,micrantha,,,,,Trema_micrantha
zuelgu,Flacourtiaceae,Zuelania,guidonia,,,,,Zuelania_guidonia