sp,AL,CA,CU,K,MG,MN,P,ZN,D13C,D15N,C,N
ingaco,179.9860818,12.32160008,7.790151163,6.479358392,2.106644378,521.11188,0.930335891,21.66244713,-36.15440578,-0.484738507,44.84733636,2.598225354
ingafa,29.51131329,10.39967747,14.58876322,4.958051227,2.525683021,86.06952151,0.912620215,288.0474836,-34.85368859,1.990868898,45.83745193,2.577600479
ingago,148.1560123,10.03838895,22.73453342,7.081455236,3.195941029,114.9102769,0.833797688,40.27838994,-35.44947705,-0.156150359,44.53158291,2.55805206
ingama,66.22339297,15.0842615,13.65120013,7.013082706,3.460025808,124.3091307,1.084289568,20.49072232,-35.30148422,1.73135778,44.5850178,2.750067779
ingape,59.41327956,4.895596811,11.9687023,6.332766371,2.03767064,73.70050563,0.980710852,329.956829,-35.22066168,0.054579132,47.17338529,3.228426986
ingapu,93.95856781,16.32895473,11.71219688,3.825808909,2.62470391,163.3755251,0.949187305,14.89735264,-33.1994901,3.233392539,44.80027061,2.500800791
ingaqu,134.5625735,12.95515959,38.33319411,5.981788892,2.950055638,40.2087878,1.00411487,17.19702985,-34.25113711,0.377436334,45.59631101,2.527553174
ingaru,63.91751733,8.754729746,17.22036311,5.460414281,2.096200802,64.46621895,1.299651904,22.28572713,-33.13031201,1.927445193,45.67566312,2.720990779
ingas1,34.06368624,11.42085564,6.564957655,5.790542306,2.507445432,192.8251021,0.991037205,11.53665169,-35.33832773,3.484013669,45.384734,3.042106969
ingasa,94.20869144,11.9476871,11.80963423,14.67498084,3.473034445,138.4956734,2.175183726,24.92016126,-33.85518067,2.775123197,43.9109189,4.166845774
ingasp,69.19824676,11.85744561,10.24570298,5.899716335,2.598612506,127.2443387,0.922150955,82.47814648,-34.83149677,0.884945509,45.11472142,2.862732645
ingath,138.7149663,9.217153654,7.932739105,5.276445205,1.872675833,308.7657267,0.846626531,35.33483122,-34.4639243,2.441532916,46.90138011,2.714454914
ingaum,138.4256503,8.480878689,11.01344673,5.899423805,2.76611731,95.64027051,0.799956014,113.21143,-35.30030223,0.943173708,46.17468705,3.112275159