Sp,LEAFAREA_AVI,LEAFLET_AVI,LEAFTHCK_AVI,LMADISC_AVI,LMALEAF_AVI,LMALAM_AVI,LDDISC_AVI,LDMC_AVI
ingaco,490.2938889,13.53703704,243.6111111,58.67735571,71.45854531,61.35602855,0.249163549,0.443067277
ingafa,104.1564286,3.952380952,179.2857143,72.34370485,77.29758999,71.48380225,0.403979621,0.428541146
ingago,736.983,5.6,170,51.92178018,58.61250351,51.87035818,0.307806514,0.357698665
ingama,86.11625,3.666666667,180.4166667,52.23083839,57.34694594,52.86472895,0.291443925,0.375970599
ingape,260.5433333,7.75,147.5,45.44092305,52.14121076,45.15742853,0.309070296,0.352531359
ingapu,243.6838889,3.833333333,184.7222222,73.31235484,83.90667275,77.68185747,0.395764059,0.430240521
ingaqu,231.7740476,7.75,177.0952381,60.94467457,70.98101646,62.86096936,0.342417574,0.392979978
ingaru,972.2575,11.125,212.5,57.90627107,77.7065611,63.45321641,0.275067322,0.392627798
ingas1,130.9722619,5.404761905,138.2142857,47.66721254,54.59234265,50.44657939,0.360433272,0.429337813
ingasa,450.8316667,5.395833333,166.7708333,51.31771185,60.92876032,53.07624392,0.305723812,0.36398677
ingasp,649.3069444,5.638888889,184.5238095,62.95154609,69.55560165,62.94386168,0.350111655,0.378641654
ingath,245.1016667,10.94444444,240.2777778,77.47059264,83.97218166,72.84247675,0.317762015,0.383770631
ingaum,219.484,5.15,157.3333333,56.74308833,62.99787199,57.01889311,0.363467295,0.429383638